timestamp,cpu_percent,ram_percent,cpu_freq
2026-02-08T08:49:15.764126,13.1,13.3,2100.0
2026-02-08T08:49:16.264598,5.8,13.3,2100.0
2026-02-08T08:49:16.765475,4.4,13.2,2100.0
2026-02-08T08:49:17.266328,4.3,13.2,2100.0
2026-02-08T08:49:17.767091,3.9,13.2,2100.0
2026-02-08T08:49:18.268411,5.1,13.2,2100.0
2026-02-08T08:49:18.769430,3.5,13.2,2100.0
2026-02-08T08:49:19.270239,5.0,13.2,2100.0
2026-02-08T08:49:19.771635,5.9,13.2,2100.0
2026-02-08T08:49:20.272547,3.9,13.2,2100.0
2026-02-08T08:49:20.773013,4.7,13.2,2100.0
2026-02-08T08:49:21.274204,5.1,13.2,2100.0
2026-02-08T08:49:21.775619,6.8,13.2,2100.0
2026-02-08T08:49:22.276146,6.2,13.2,2100.0
2026-02-08T08:49:22.777030,5.9,13.2,2100.0
2026-02-08T08:49:23.277612,5.4,13.2,2100.0
2026-02-08T08:49:23.778171,5.3,13.2,2100.0
2026-02-08T08:49:24.278908,3.6,13.2,2100.0
2026-02-08T08:49:24.779638,5.4,13.2,2100.0
2026-02-08T08:49:25.280467,3.6,13.2,2100.0
2026-02-08T08:49:25.781189,4.1,13.2,2100.0
2026-02-08T08:49:26.282296,5.7,13.2,2100.0
2026-02-08T08:49:26.783003,5.6,13.3,2100.0
2026-02-08T08:49:27.286277,5.4,13.3,2100.0
2026-02-08T08:49:27.786777,5.5,13.2,2100.0
2026-02-08T08:49:28.287899,4.2,13.2,2100.0
2026-02-08T08:49:28.788853,4.5,13.2,2100.0
2026-02-08T08:49:29.289598,3.2,13.2,2100.0
2026-02-08T08:49:29.790185,4.6,13.2,2100.0
2026-02-08T08:49:30.290995,4.3,13.2,2100.0
2026-02-08T08:49:30.791909,5.1,13.2,2100.0
2026-02-08T08:49:31.297110,6.3,13.2,2100.0
2026-02-08T08:49:31.797986,4.3,13.2,2100.0
2026-02-08T08:49:32.298869,7.4,13.2,2100.0
2026-02-08T08:49:32.799605,3.8,13.2,2100.0
2026-02-08T08:49:33.300407,6.2,13.2,2100.0
2026-02-08T08:49:33.801160,3.5,13.2,2100.0
2026-02-08T08:49:34.302380,5.1,13.2,2100.0
2026-02-08T08:49:34.803244,7.1,13.2,2100.0
2026-02-08T08:49:35.303700,5.1,13.2,2100.0
2026-02-08T08:49:35.804663,8.0,13.2,2100.0
2026-02-08T08:49:36.305524,5.7,13.3,2100.0
2026-02-08T08:49:36.806539,4.8,13.3,2100.0
2026-02-08T08:49:37.307402,4.6,13.3,2100.0
2026-02-08T08:49:37.807937,3.8,13.3,2100.0
2026-02-08T08:49:38.309115,4.8,13.3,2100.0
2026-02-08T08:49:38.809922,6.9,13.3,2100.0
2026-02-08T08:49:39.310578,3.5,13.3,2100.0
2026-02-08T08:49:39.811161,6.4,13.3,2100.0
2026-02-08T08:49:40.312091,5.0,13.3,2100.0
2026-02-08T08:49:40.812618,8.5,13.3,2100.0
2026-02-08T08:49:41.313351,5.7,13.3,2100.0
2026-02-08T08:49:41.814061,5.7,13.3,2100.0
2026-02-08T08:49:42.314663,8.7,13.2,2100.0
2026-02-08T08:49:42.815216,8.1,13.2,2100.0
2026-02-08T08:49:43.315917,4.2,13.3,2100.0
2026-02-08T08:49:43.816777,6.8,13.3,2100.0
2026-02-08T08:49:44.321254,12.1,13.3,2100.0
2026-02-08T08:49:44.821811,7.6,13.3,2100.0
2026-02-08T08:49:45.322626,2.9,13.3,2100.0
2026-02-08T08:49:45.826313,11.9,13.3,2100.0
2026-02-08T08:49:46.326787,5.7,13.3,2100.0
2026-02-08T08:49:46.827453,9.4,13.3,2100.0
2026-02-08T08:49:47.328382,10.9,13.3,2100.0
2026-02-08T08:49:47.828794,7.7,13.3,2100.0
2026-02-08T08:49:48.329739,13.5,13.3,2100.0
2026-02-08T08:49:48.830146,7.8,13.3,2100.0
